Fold,Euclidean Original - Protected,Euclidean Original - Reconstructed,Hausdorff Original - Protected,Hausdorff Original - Reconstructed,Jaccard Original - Protected,Jaccard Original - Reconstructed
1,38148.50631865706,25134.636510709097,85829.79507976862,25996.83688391562,3.079317729212004e-07,0.0
1,34938.370487278524,26295.590988750788,81246.17050352316,28666.960133561082,9.931144220232166e-07,0.0
1,94811.84092346589,1858.156470517713,184052.77695691976,2991.2573338794477,5.690050914111496e-06,0.0
1,35128.53281917865,2427.924372798014,79883.33781802836,2558.301682887643,2.8013941820826793e-05,0.0
1,29011.70100905896,2716.817039584162,61834.430874182435,3706.580065264237,5.165199166632123e-07,0.0
1,47690.43015578861,1426.4849505895556,85855.82664272455,1388.7804632757304,0.0,0.0
1,74088.15241532595,4519.669806523093,106486.65854586336,5019.785807710987,1.2585442410002257e-05,0.0
1,30064.06283058678,2954.4539267290093,59247.435179209715,3975.786875163684,9.96576526308206e-07,0.0
1,19294.442696670845,2798.9747515342183,39916.60867557709,3751.6776316625173,4.185284634748975e-06,0.0
1,37028.61683099712,3298.5715983867362,56417.896979517755,3749.1186844146464,0.0,0.0
1,70525.22600238967,2205.9661626579377,121681.46011651347,3771.1500891018222,2.2856136380455275e-06,0.0
1,23809.81458944772,2974.6664415190507,51907.69703768311,4108.737766550465,7.171194971824383e-05,0.0
1,29393.5980166168,2058.3770093313674,78636.25350325613,3055.6557240494963,5.134952020259482e-07,0.0
1,11308.118444464044,2095.183041340243,25120.23594024238,2747.3499029392606,0.0,0.0
1,31131.383402489686,1566.6739050052772,56107.26411520435,1606.7701177597855,0.0,0.0
1,29709.846545812947,829.0959660781427,77777.67516652211,1666.2420456512648,2.2490382301916333e-07,0.0
1,29015.199854016126,2139.1819562568503,64589.62635290258,2242.746647992439,4.5097903899899135e-05,0.0
1,50820.63746172505,1489.9296727272626,80375.18673540904,1975.9284880677678,3.739960702928353e-05,0.0
1,55549.787800732585,1904.304320247107,117112.47841830837,2496.164517982463,3.592890206088891e-05,0.0
1,42060.387477501645,1654.1226041545885,70906.3318872693,1925.091883809484,1.3472696296103097e-06,0.0
1,20345.333129896528,3860.160966239375,38663.6832705287,4702.098150659399,2.3410085092542314e-06,0.0
1,51078.27076238502,1833.1849288348994,97745.77286567121,2949.0578112569256,0.0,0.0
1,62431.69530777672,1366.897759422624,105640.64270213587,1561.9262215886874,0.0,0.0
1,62563.22376013695,2186.7677067205345,120978.98611190481,2870.7170618285336,0.0,0.0
1,33881.20987647576,2215.901964085299,56838.41881341271,2461.8431121547455,0.0,0.0
1,28958.987729807664,2331.514148702965,67074.86248059961,2396.985095723423,0.0,0.0
1,54765.691961564706,2116.410603218393,101540.41673554045,2524.7136803713684,0.0,0.0
1,67086.70073701256,2671.6942416956067,129515.08799492773,3844.358384441341,6.783860784481199e-06,0.0
1,71051.25181796834,6228.443532998719,129099.58706925194,7750.517264044592,0.0,0.0
1,14150.788081491371,4821.443801026263,28102.09800534651,5126.649850525356,0.0,0.0
1,41823.73148629878,6091.132951892186,102421.91252566513,7564.99547592627,8.497646686355316e-08,0.0
1,41405.745897037246,2040.7188742517935,86042.79921976896,3134.3286311758675,1.5278415249701095e-07,0.0
1,61409.62230203363,1934.6798936752411,113287.85825882213,3066.6640790404954,1.7060970139496107e-06,0.0
1,28259.59610935094,1382.6987184296331,62363.355588734674,1759.6378888323584,1.2642259710838874e-06,0.0
1,20410.89776795567,1790.7321582813915,41983.48494691929,2009.0791489523087,0.0,0.0
1,52215.14991867963,1346.046236368045,90384.67575308698,1698.5156975928878,0.0,0.0
1,56825.61755641855,1384.4856242388037,99691.00225063223,1668.2321229436563,1.0434673045788146e-05,0.0
1,31174.72395223574,2508.8668606312217,73927.14700767922,2754.7953464641496,3.6132239934342815e-06,0.0
1,78453.68032142465,3065.0394084529908,168086.29435745202,8837.65298374551,8.069386738981126e-06,0.00015202180986486255
1,59755.99976576798,14149.158133126843,137484.02488702186,18278.59323522169,2.7675647892482984e-06,0.0
1,82496.8804720794,13607.246425957183,142257.04637428632,14033.0388120851,7.889081975676239e-06,0.0
1,49881.07055703879,2034.8385012735714,121002.4497374072,3796.4299367003323,9.981026923895537e-06,0.0
1,29146.96488251132,1160.2591601321735,61860.41615117546,1512.365684740985,1.469014660161995e-05,0.0
1,35204.45127323796,1911.9138694756875,79239.93603005729,3026.415990918228,8.677856256902025e-07,0.0
1,50020.81455646981,4650.218053552736,93526.1425717932,5086.003511284179,0.0,0.0
1,20644.641720326963,9157.225522164768,43711.66929417801,10348.3944795896,3.6816142070806697e-06,0.0
